Airport_ID,Name,Country,Latitude,Longtitude,Altitude
YKA,Kamloops Airport,Canada,50.7022018433,-120.444000244,1133
YKF,Waterloo Airport,Canada,43.4608001709,-80.3786010742,1055
YKL,Schefferville Airport,Canada,54.805301666259766,-66.8052978515625,1709
YKY,Kindersley Airport,Canada,51.5175018311,-109.180999756,2277
YKZ,Buttonville Municipal Airport,Canada,43.86220169067383,-79.37000274658203,650
YLD,Chapleau Airport,Canada,47.81999969482422,-83.3467025756836,1470
YLJ,Meadow Lake Airport,Canada,54.125301361083984,-108.52300262451172,1576
YLL,Lloydminster Airport,Canada,53.309200286865234,-110.072998046875,2193
YLT,Alert Airport,Canada,82.51779937740001,-62.2806015015,100
YLW,Kelowna International Airport,Canada,49.9561004639,-119.377998352,1421
YMA,Mayo Airport,Canada,63.61640167236328,-135.8679962158203,1653
YMJ,Moose Jaw Air Vice Marshal C. M. McEwen Airport,Canada,50.330299377441406,-105.55899810791016,1892
YMM,Fort McMurray Airport,Canada,56.653301239,-111.222000122,1211
YMO,Moosonee Airport,Canada,51.29109954833984,-80.60780334472656,30
YMW,Maniwaki Airport,Canada,46.2728004456,-75.9906005859,656
YMX,Montreal International (Mirabel) Airport,Canada,45.679501,-74.038696,270
YNA,Natashquan Airport,Canada,50.18999862670898,-61.78919982910156,39
YND,Ottawa / Gatineau Airport,Canada,45.5217018127,-75.5635986328,211
YNM,Matagami Airport,Canada,49.76169967651367,-77.80280303955078,918
YOC,Old Crow Airport,Canada,67.57060241699219,-139.83900451660156,824
YOD,CFB Cold Lake,Canada,54.40499877929688,-110.27899932861328,1775
YOJ,High Level Airport,Canada,58.62139892578125,-117.16500091552734,1110
YOW,Ottawa Macdonald-Cartier International Airport,Canada,45.3224983215332,-75.66919708251953,374
YPA,Prince Albert Glass Field,Canada,53.2141990662,-105.672996521,1405
YPE,Peace River Airport,Canada,56.226898,-117.446999,1873
YPG,Southport Airport,Canada,49.903099,-98.273817,885
YPL,Pickle Lake Airport,Canada,51.4463996887207,-90.21420288085938,1267
YPN,Port Menier Airport,Canada,49.83639907836914,-64.2885971069336,167
YPQ,Peterborough Airport,Canada,44.22999954223633,-78.36329650878906,628
YPR,Prince Rupert Airport,Canada,54.2860984802,-130.445007324,116
YPY,Fort Chipewyan Airport,Canada,58.7672004699707,-111.11699676513672,761
YQA,Muskoka Airport,Canada,44.974700927734375,-79.30329895019531,925
YQB,Quebec Jean Lesage International Airport,Canada,46.7911,-71.393303,244
YQF,Red Deer Regional Airport,Canada,52.18220138549805,-113.8939971923828,2968
YQG,Windsor Airport,Canada,42.27560043334961,-82.95559692382812,622
YQH,Watson Lake Airport,Canada,60.11640167236328,-128.82200622558594,2255
YQK,Kenora Airport,Canada,49.78829956054688,-94.36309814453124,1332
YQL,Lethbridge County Airport,Canada,49.6302986145,-112.800003052,3048
YQM,Greater Moncton International Airport,Canada,46.11220169067383,-64.67859649658203,232
YQQ,Comox Airport,Canada,49.71080017089844,-124.88700103759766,84
YQR,Regina International Airport,Canada,50.43190002441406,-104.66600036621094,1894
YQT,Thunder Bay Airport,Canada,48.37189865112305,-89.32389831542969,653
YQU,Grande Prairie Airport,Canada,55.1796989441,-118.885002136,2195
YQV,Yorkton Municipal Airport,Canada,51.26470184326172,-102.46199798583984,1635
YQW,North Battleford Airport,Canada,52.76919937133789,-108.24400329589844,1799
YQX,Gander International Airport,Canada,48.9369010925293,-54.56809997558594,496
YQY,Sydney / J.A. Douglas McCurdy Airport,Canada,46.1614,-60.047798,203
YQZ,Quesnel Airport,Canada,53.026100158691406,-122.51000213623048,1789
YRB,Resolute Bay Airport,Canada,74.7169036865,-94.9693984985,215
YRI,Rivière-du-Loup Airport,Canada,47.76440048217773,-69.58470153808594,427
YRJ,Roberval Airport,Canada,48.52000045776367,-72.2656021118164,586
YRM,Rocky Mountain House Airport,Canada,52.4296989441,-114.903999329,3244
YRT,Rankin Inlet Airport,Canada,62.8114013672,-92.1157989502,94
YSB,Sudbury Airport,Canada,46.625,-80.79889678955078,1141
YSC,Sherbrooke Airport,Canada,45.4385986328125,-71.69139862060547,792
YSJ,Saint John Airport,Canada,45.31610107421875,-65.89029693603516,357
YSM,Fort Smith Airport,Canada,60.020301818847656,-111.96199798583984,671
YSR,Nanisivik Airport,Canada,72.982201,-84.613602,2106
YSU,Summerside Airport,Canada,46.44060134887695,-63.83359909057617,56
YSY,Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,Canada,71.9938964844,-125.242996216,282
YTE,Cape Dorset Airport,Canada,64.2300033569,-76.5267028809,164
YTH,Thompson Airport,Canada,55.80110168457031,-97.86419677734376,729
YTR,CFB Trenton,Canada,44.118900299072266,-77.5280990600586,283
YTS,Timmins/Victor M. Power,Canada,48.5696983337,-81.376701355,967
YTZ,Billy Bishop Toronto City Centre Airport,Canada,43.627499,-79.396202,252
YUB,Tuktoyaktuk Airport,Canada,69.43329620361328,-133.0260009765625,15
YUL,Montreal / Pierre Elliott Trudeau International Airport,Canada,45.4706001282,-73.7407989502,118
YUT,Repulse Bay Airport,Canada,66.5214004517,-86.22470092770001,80
YUX,Hall Beach Airport,Canada,68.77610015869999,-81.2425,30
YUY,Rouyn Noranda Airport,Canada,48.20610046386719,-78.83560180664062,988
YVC,La Ronge Airport,Canada,55.1514015198,-105.262001038,1242
YVG,Vermilion Airport,Canada,53.3558006287,-110.823997498,2025
YVM,Qikiqtarjuaq Airport,Canada,67.5457992554,-64.03140258789999,21
YVO,Val-d'Or Airport,Canada,48.0532989502,-77.7827987671,1107
YVP,Kuujjuaq Airport,Canada,58.096099853515625,-68.4269027709961,129
YVQ,Norman Wells Airport,Canada,65.28160095214844,-126.7979965209961,238
YVR,Vancouver International Airport,Canada,49.193901062,-123.183998108,14
YVT,Buffalo Narrows Airport,Canada,55.8418998718,-108.417999268,1423
YVV,Wiarton Airport,Canada,44.7458,-81.107201,729
YWA,Petawawa Airport,Canada,45.95220184326172,-77.31919860839844,427
YWG,Winnipeg / James Armstrong Richardson International Airport,Canada,49.9099998474,-97.2398986816,783
YWK,Wabush Airport,Canada,52.92190170288086,-66.8644027709961,1808
YWL,Williams Lake Airport,Canada,52.1831016541,-122.054000854,3085
YWY,Wrigley Airport,Canada,63.20940017700195,-123.43699645996094,489
YXC,Cranbrook/Canadian Rockies International Airport,Canada,49.610801696777,-115.78199768066,3082
YXD,Edmonton City Centre (Blatchford Field) Airport,Canada,53.5724983215,-113.521003723,2202
YXE,Saskatoon John G. Diefenbaker International Airport,Canada,52.17079925537109,-106.6999969482422,1653
YXH,Medicine Hat Airport,Canada,50.01890182495117,-110.72100067138672,2352
YXJ,Fort St John Airport,Canada,56.23809814453125,-120.73999786376952,2280
YXL,Sioux Lookout Airport,Canada,50.11389923095703,-91.9052963256836,1258
YXP,Pangnirtung Airport,Canada,66.1449966431,-65.71360015869999,75
YXR,Earlton (Timiskaming Regional) Airport,Canada,47.6974006546,-79.8473453522,800
YXS,Prince George Airport,Canada,53.8894004822,-122.679000854,2267
YXT,Northwest Regional Airport Terrace-Kitimat,Canada,54.468498,-128.576009,713
YXU,London Airport,Canada,43.035599,-81.1539,912
YXX,Abbotsford Airport,Canada,49.025299072265625,-122.36100006103516,195
YXY,Whitehorse / Erik Nielsen International Airport,Canada,60.7095985413,-135.067001343,2317
YYB,North Bay Jack Garland Airport,Canada,46.363602,-79.422798,1215
YYC,Calgary International Airport,Canada,51.113899231,-114.019996643,3557
YYD,Smithers Airport,Canada,54.82469940185547,-127.18299865722656,1712
YYE,Fort Nelson Airport,Canada,58.8363990784,-122.597000122,1253
YYF,Penticton Airport,Canada,49.46310043334961,-119.60199737548828,1129
YYG,Charlottetown Airport,Canada,46.290000915527344,-63.12110137939453,160
YYH,Taloyoak Airport,Canada,69.5466995239,-93.5766983032,92
YYJ,Victoria International Airport,Canada,48.646900177,-123.426002502,63
YYL,Lynn Lake Airport,Canada,56.86389923095703,-101.07599639892578,1170
YYN,Swift Current Airport,Canada,50.2919006348,-107.691001892,2680
YYQ,Churchill Airport,Canada,58.739200592041016,-94.06500244140624,94
YYR,Goose Bay Airport,Canada,53.3191986084,-60.4258003235,160
YYT,St. John's International Airport,Canada,47.618598938,-52.7518997192,461
YYU,Kapuskasing Airport,Canada,49.41389846801758,-82.46749877929688,743
YYW,Armstrong Airport,Canada,50.29029846191406,-88.90969848632812,1058
YYY,Mont Joli Airport,Canada,48.60860061645508,-68.20809936523438,172
YYZ,Lester B. Pearson International Airport,Canada,43.6772003174,-79.63059997559999,569
YZD,Downsview Airport,Canada,43.74250030517578,-79.4655990600586,652
YZE,Gore Bay Manitoulin Airport,Canada,45.88529968261719,-82.56780242919922,635
YZF,Yellowknife Airport,Canada,62.462799072265625,-114.44000244140624,675
YZH,Slave Lake Airport,Canada,55.2930984497,-114.777000427,1912
YZP,Sandspit Airport,Canada,53.25429916379999,-131.813995361,21
YZR,Chris Hadfield Airport,Canada,42.9994010925293,-82.30889892578125,594
YZT,Port Hardy Airport,Canada,50.68059921264648,-127.36699676513672,71
YZU,Whitecourt Airport,Canada,54.14390182495117,-115.78700256347656,2567
YZV,Sept-Îles Airport,Canada,50.22330093383789,-66.2656021118164,180
YZW,Teslin Airport,Canada,60.17279815673828,-132.7429962158203,2313
YZX,CFB Greenwood,Canada,44.98440170288086,-64.91690063476562,92
ZFA,Faro Airport,Canada,62.20750045776367,-133.37600708007812,2351
ZFM,Fort Mcpherson Airport,Canada,67.40750122070312,-134.86099243164062,116
QLD,Blida Airport,Algeria,36.50360107421875,2.814169883728028,535
BUJ,Bou Saada Airport,Algeria,35.33250045776367,4.206389904022217,1506
BJA,Soummam Airport,Algeria,36.7120018005,5.0699200630200005,20
ALG,Houari Boumediene Airport,Algeria,36.69100189208984,3.215409994125366,82
DJG,Djanet Inedbirene Airport,Algeria,24.292801,9.45244,3176
VVZ,Illizi Takhamalt Airport,Algeria,26.7234992981,8.62265014648,1778
TMR,Aguenar – Hadj Bey Akhamok Airport,Algeria,22.8115005493,5.45107984543,4518
GJL,Jijel Ferhat Abbas Airport,Algeria,36.7951011658,5.87361001968,36
MZW,Mecheria Airport,Algeria,33.535900116,-0.242353007197,3855
AAE,Rabah Bitat Airport,Algeria,36.822201,7.809174,16
CZL,Mohamed Boudiaf International Airport,Algeria,36.2760009765625,6.620389938354492,2265
TEE,Cheikh Larbi Tébessi Airport,Algeria,35.4315986633,8.12071990967,2661
HRM,Hassi R'Mel Airport,Algeria,32.93040084838867,3.311539888381958,2540
TID,Bou Chekif Airport,Algeria,35.3410987854,1.46315002441,3245
TIN,Tindouf Airport,Algeria,27.7003993988,-8.167099952700001,1453
CFK,Ech Cheliff Airport,Algeria,36.2126998901,1.33176994324,463
TAF,Tafaraoui Airport,Algeria,35.54240036010742,-0.5322780013084412,367
TLM,Zenata – Messali El Hadj Airport,Algeria,35.0167007446,-1.45000004768,814
ORN,Es Senia Airport,Algeria,35.6239013672,-0.6211829781529999,295
BFW,Sidi Bel Abbes Airport,Algeria,35.1717987061,-0.593275010586,1614
MUW,Ghriss Airport,Algeria,35.207698822021484,0.1471419930458068,1686
AZR,Touat Cheikh Sidi Mohamed Belkebir Airport,Algeria,27.83760070800781,-0.1864140033721923,919
BSK,Biskra Airport,Algeria,34.7933006287,5.73823022842,289
ELG,El Golea Airport,Algeria,30.5713005065918,2.8595900535583496,1306
GHA,Noumérat - Moufdi Zakaria Airport,Algeria,32.38410186767578,3.794110059738159,1512
HME,Oued Irara Airport,Algeria,31.6730003357,6.140439987180001,463
INZ,In Salah Airport,Algeria,27.2509994507,2.51202011108,896
TGR,Touggourt Sidi Madhi Airport,Algeria,33.06779861450195,6.088669776916504,279
LOO,Laghouat Airport,Algeria,33.7644004822,2.92833995819,2510
TMX,Timimoun Airport,Algeria,29.2371006012,0.276033014059,1027
OGX,Ain el Beida Airport,Algeria,31.917200088500977,5.412779808044434,492
IAM,In Aménas Airport,Algeria,28.0515,9.64291,1847
COO,Cadjehoun Airport,Benin,6.357230186462402,2.384350061416626,19
OUA,Ouagadougou Airport,Burkina Faso,12.3532,-1.51242,1037
BOY,Bobo Dioulasso Airport,Burkina Faso,11.160099983215332,-4.33096981048584,1511
ACC,Kotoka International Airport,Ghana,5.605189800262451,-0.1667860001325607,205
TML,Tamale Airport,Ghana,9.55718994140625,-0.8632140159606934,553
NYI,Sunyani Airport,Ghana,7.361830234527588,-2.3287599086761475,1014
TKD,Takoradi Airport,Ghana,4.896059989929199,-1.7747600078582764,21
ABV,Nnamdi Azikiwe International Airport,Nigeria,9.006790161132812,7.263169765472412,1123
AKR,Akure Airport,Nigeria,7.246739864349365,5.3010101318359375,1100
BNI,Benin Airport,Nigeria,6.316979885101318,5.599500179290772,258
CBQ,Margaret Ekpo International Airport,Nigeria,4.976019859313965,8.347200393676758,210
ENU,Akanu Ibiam International Airport,Nigeria,6.474269866943359,7.561960220336914,466
IBA,Ibadan Airport,Nigeria,7.362460136413574,3.97832989692688,725
ILR,Ilorin International Airport,Nigeria,8.440210342407227,4.493919849395752,1126
JOS,Yakubu Gowon Airport,Nigeria,9.639829635620115,8.869050025939941,4232
KAD,Kaduna Airport,Nigeria,10.696000099182127,7.320109844207764,2073
KAN,Mallam Aminu International Airport,Nigeria,12.0476,8.52462,1562
MIU,Maiduguri International Airport,Nigeria,11.855299949645996,13.080900192260742,1099
MDI,Makurdi Airport,Nigeria,7.70388,8.61394,371
LOS,Murtala Muhammed International Airport,Nigeria,6.5773701667785645,3.321160078048706,135
MXJ,Minna Airport,Nigeria,9.652170181274414,6.462259769439697,834
PHC,Port Harcourt International Airport,Nigeria,5.0154900550842285,6.94959020614624,87
SKO,Sadiq Abubakar III International Airport,Nigeria,12.916299819946287,5.207190036773682,1010
YOL,Yola Airport,Nigeria,9.257550239562988,12.430399894714355,599
ZAR,Zaria Airport,Nigeria,11.1302,7.68581,2170
MFQ,Maradi Airport,Niger,13.5024995803833,7.1267499923706055,1240
NIM,Diori Hamani International Airport,Niger,13.4815,2.18361,732
THZ,Tahoua Airport,Niger,14.875699996948242,5.265359878540039,1266
AJY,Mano Dayak International Airport,Niger,16.965999603271484,8.000109672546387,1657
ZND,Zinder Airport,Niger,13.779000282287598,8.983759880065918,1516
MIR,Monastir Habib Bourguiba International Airport,Tunisia,35.75809860229492,10.75469970703125,9
TUN,Tunis Carthage International Airport,Tunisia,36.85100173950195,10.22719955444336,22
GAF,Gafsa Ksar International Airport,Tunisia,34.422000885009766,8.822500228881836,1060
GAE,Gabès Matmata International Airport,Tunisia,33.87689971923828,10.103300094604492,26
DJE,Djerba Zarzis International Airport,Tunisia,33.875,10.775500297546388,19
EBM,El Borma Airport,Tunisia,31.70429992675781,9.254619598388672,827
SFA,Sfax Thyna International Airport,Tunisia,34.71799850463867,10.690999984741213,85
TOE,Tozeur Nefta International Airport,Tunisia,33.939701080322266,8.110560417175293,287
LRL,Niamtougou International Airport,Togo,9.767330169677734,1.091249942779541,1515
LFW,Lomé-Tokoin Airport,Togo,6.165609836578369,1.2545100450515747,72
ANR,Antwerp International Airport (Deurne),Belgium,51.1893997192,4.46027994156,39
BRU,Brussels Airport,Belgium,50.9014015198,4.48443984985,184
CRL,Brussels South Charleroi Airport,Belgium,50.459202,4.45382,614
KJK,Wevelgem Airport,Belgium,50.817199707,3.20472002029,64
LGG,Liège Airport,Belgium,50.63740158081055,5.443220138549805,659
OST,Ostend-Bruges International Airport,Belgium,51.1988983154,2.8622200489,13
OBL,Zoersel (Oostmalle) Airfield,Belgium,51.264702,4.75333,53
AOC,Altenburg-Nobitz Airport,Germany,50.981945,12.506389,640
IES,Riesa-Göhlis Airport,Germany,51.2936096191,13.3561105728,322
REB,Rechlin-Lärz Airport,Germany,53.306388855,12.7522220612,220
QXH,Schönhagen Airport,Germany,52.203609,13.156389,152
BBH,Barth Airport,Germany,54.338253,12.710515,23
ZMG,"Magdeburg ""City"" Airport",Germany,52.073612,11.626389,259
CBU,Cottbus-Drewitz Airport,Germany,51.889442,14.531944,272
SXF,Berlin-Schönefeld Airport,Germany,52.380001,13.5225,157
DRS,Dresden Airport,Germany,51.1328010559082,13.767200469970703,755
ERF,Erfurt Airport,Germany,50.97980117797852,10.958100318908691,1036
FRA,Frankfurt am Main Airport,Germany,50.033333,8.570556,364
FMO,Münster Osnabrück Airport,Germany,52.134601593,7.68483018875,160
HAM,Hamburg Airport,Germany,53.630401611328,9.9882297515869,53
THF,Berlin-Tempelhof International Airport,Germany,52.47299957275391,13.403900146484377,167
CGN,Cologne Bonn Airport,Germany,50.8658981323,7.1427397728,302
DUS,Düsseldorf Airport,Germany,51.289501,6.76678,147
MUC,Munich Airport,Germany,48.353802,11.7861,1487
NUE,Nuremberg Airport,Germany,49.498699,11.078056,1046
LEJ,Leipzig/Halle Airport,Germany,51.423889,12.236389,465
SCN,Saarbrücken Airport,Germany,49.2145996094,7.10950994492,1058
STR,Stuttgart Airport,Germany,48.6898994446,9.22196006775,1276
TXL,Berlin-Tegel Airport,Germany,52.5597,13.2877,122
HAJ,Hannover Airport,Germany,52.461101532,9.68507957458,183
BRE,Bremen Airport,Germany,53.0475006104,8.78666973114,14
QEF,Frankfurt-Egelsbach Airport,Germany,49.959999,8.645833,384
HHN,Frankfurt-Hahn Airport,Germany,49.9487,7.26389,1649
MHG,Mannheim-City Airport,Germany,49.473057,8.514167,308
EIB,Eisenach-Kindel Airport,Germany,50.991604,10.47973,1112
SGE,Siegerland Airport,Germany,50.70769882202149,8.082969665527344,1966
XFW,Hamburg-Finkenwerder Airport,Germany,53.5352783203125,9.835556030273438,23
KEL,Kiel-Holtenau Airport,Germany,54.37944412231445,10.145277976989746,102
LBC,Lübeck Blankensee Airport,Germany,53.8054008484,10.7192001343,53
ESS,Essen Mulheim Airport,Germany,51.40230178833008,6.9373297691345215,424
BFE,Bielefeld Airport,Germany,51.964722,8.544444,454
MGL,Mönchengladbach Airport,Germany,51.230278,6.504444,125
PAD,Paderborn Lippstadt Airport,Germany,51.6141014099,8.616319656369999,699
DTM,Dortmund Airport,Germany,51.51829910279999,7.61223983765,425
AGB,Augsburg Airport,Germany,48.425278,10.931667,1516
OBF,Oberpfaffenhofen Airport,Germany,48.081402,11.2831,1947
RBM,Straubing Airport,Germany,48.90083312988281,12.516667366027832,1047
FDH,Friedrichshafen Airport,Germany,47.6712989807,9.51148986816,1367
SZW,Schwerin Parchim Airport,Germany,53.426998,11.7834,166
BYU,Bayreuth Airport,Germany,49.985001,11.64,1601
URD,Burg Feuerstein Airport,Germany,49.794166564941,11.133610725403,1673
HOQ,Hof-Plauen Airport,Germany,50.288612365722656,11.856389045715332,1959
ZQW,Zweibrücken Airport,Germany,49.2094,7.40056,1132
ZQL,Donaueschingen-Villingen Airport,Germany,47.97333145139999,8.52222156525,2231
BWE,Braunschweig-Wolfsburg Airport,Germany,52.319199,10.5561,295
KSF,Kassel-Calden Airport,Germany,51.417273,9.384967,820
BRV,Bremerhaven Airport,Germany,53.506943,8.572778,10
EME,Emden Airport,Germany,53.391109,7.2275,3
WVN,Wilhelmshaven-Mariensiel Airport,Germany,53.502220153808594,8.05222225189209,16
BMK,Borkum Airport,Germany,53.59639,6.709167,3
NRD,Norderney Airport,Germany,53.70694351196289,7.230000019073486,7
FLF,Flensburg-Schäferhaus Airport,Germany,54.77333450317383,9.378889083862305,131
GWT,Westerland Sylt Airport,Germany,54.9132003784,8.34047031403,51
KDL,Kärdla Airport,Estonia,58.99079895019531,22.830699920654297,18
URE,Kuressaare Airport,Estonia,58.22990036010742,22.50950050354004,14
EPU,Pärnu Airport,Estonia,58.41899871826172,24.47279930114746,47
TLL,Lennart Meri Tallinn Airport,Estonia,59.41329956049999,24.8327999115,131
TAY,Tartu Airport,Estonia,58.3074989319,26.690399169900004,219
ENF,Enontekio Airport,Finland,68.362602233887,23.424299240112,1005
KEV,Halli Airport,Finland,61.856039,24.786686,479
HEM,Helsinki Malmi Airport,Finland,60.25460052490234,25.042800903320312,57
HEL,Helsinki Vantaa Airport,Finland,60.317199707031,24.963300704956,179
HYV,Hyvinkää Airfield,Finland,60.6543998718,24.8810997009,430
KTQ,Kitee Airport,Finland,62.1661,30.073601,364
IVL,Ivalo Airport,Finland,68.607299804688,27.405300140381,481
JOE,Joensuu Airport,Finland,62.662899017334,29.607500076294,398
JYV,Jyvaskyla Airport,Finland,62.399501800537,25.678300857544,459
KAU,Kauhava Airport,Finland,63.127102,23.051399,151
KEM,Kemi-Tornio Airport,Finland,65.778701782227,24.582099914551,61
KAJ,Kajaani Airport,Finland,64.285499572754,27.692399978638,483
KHJ,Kauhajoki Airport,Finland,62.4625015259,22.3931007385,407
KOK,Kokkola-Pietarsaari Airport,Finland,63.721199035645,23.143100738525,84
KAO,Kuusamo Airport,Finland,65.987602233887,29.239400863647,866
KTT,Kittilä Airport,Finland,67.700996398926,24.846799850464,644
KUO,Kuopio Airport,Finland,63.007099151611,27.797800064087,323
QLF,Lahti Vesivehmaa Airport,Finland,61.144199,25.693501,502
LPP,Lappeenranta Airport,Finland,61.044601,28.144743,349
MHQ,Mariehamn Airport,Finland,60.122200012207,19.898199081421,17
MIK,Mikkeli Airport,Finland,61.6866,27.201799,329
OUL,Oulu Airport,Finland,64.930099487305,25.354600906372,47
POR,Pori Airport,Finland,61.461700439453,21.799999237061,44
RVN,Rovaniemi Airport,Finland,66.564796447754,25.830400466919,642
SVL,Savonlinna Airport,Finland,61.943099975586,28.945100784302,311
SOT,Sodankyla Airport,Finland,67.3949966431,26.6191005707,602
TMP,Tampere-Pirkkala Airport,Finland,61.414100646973,23.604400634766,390
TKU,Turku Airport,Finland,60.514099121094,22.262800216675,161
UTI,Utti Air Base,Finland,60.89640045166,26.938400268555,339
VAA,Vaasa Airport,Finland,63.050701141357,21.762199401855,19
VRK,Varkaus Airport,Finland,62.171100616455,27.868600845337,286
YLI,Ylivieska Airfield,Finland,64.0547222,24.7252778,252
BFS,Belfast International Airport,United Kingdom,54.6575012207,-6.21582984924,268
ENK,St Angelo Airport,United Kingdom,54.39889907836914,-7.651669979095459,155
BHD,George Best Belfast City Airport,United Kingdom,54.61809921264648,-5.872499942779541,15
LDY,City of Derry Airport,United Kingdom,55.04280090332031,-7.161109924316406,22
