Airport_ID_start,Airport_ID_end,Route_ID
ACC,LOS,ACC-LOS
ACC,ROB,ACC-ROB
CKY,OXB,CKY-OXB
DKR,ACC,DKR-ACC
DKR,DLA,DKR-DLA
DKR,FNA,DKR-FNA
DKR,LOS,DKR-LOS
DKR,OXB,DKR-OXB
DLA,DKR,DLA-DKR
DLA,LOS,DLA-LOS
FNA,DKR,FNA-DKR
FNA,LGW,FNA-LGW
FNA,ROB,FNA-ROB
LGW,FNA,LGW-FNA
LOS,ACC,LOS-ACC
LOS,DKR,LOS-DKR
LOS,DLA,LOS-DLA
LOS,ROB,LOS-ROB
OXB,CKY,OXB-CKY
OXB,DKR,OXB-DKR
ROB,ACC,ROB-ACC
ROB,FNA,ROB-FNA
ROB,LOS,ROB-LOS
AKV,YIK,AKV-YIK
AKV,YPX,AKV-YPX
XGR,YVP,XGR-YVP
YGL,YGW,YGL-YGW
YGL,YPX,YGL-YPX
YGL,YUL,YGL-YUL
YGW,YGL,YGW-YGL
YGW,YPH,YGW-YPH
YGW,YSK,YGW-YSK
YGW,YUD,YGW-YUD
YGW,YUL,YGW-YUL
YGW,YUY,YGW-YUY
YIK,AKV,YIK-AKV
YIK,YZG,YIK-YZG
YKG,YPJ,YKG-YPJ
YKG,YQC,YKG-YQC
YKG,YVP,YKG-YVP
YKL,YQB,YKL-YQB
YKL,YVP,YKL-YVP
YKL,YWK,YKL-YWK
YKL,YZV,YKL-YZV
YPH,YPX,YPH-YPX
YPH,YUD,YPH-YUD
YPH,YVP,YPH-YVP
YPJ,YKG,YPJ-YKG
YPJ,YTQ,YPJ-YTQ
YPJ,YVP,YPJ-YVP
YPX,AKV,YPX-AKV
YPX,YGL,YPX-YGL
YPX,YPH,YPX-YPH
YPX,YVP,YPX-YVP
YQB,YKL,YQB-YKL
YQB,YUL,YQB-YUL
YQC,YKG,YQC-YKG
YQC,YWB,YQC-YWB
YSK,YGW,YSK-YGW
YSK,YUD,YSK-YUD
YTQ,YPJ,YTQ-YPJ
YTQ,YVP,YTQ-YVP
YUD,YGW,YUD-YGW
YUD,YPH,YUD-YPH
YUD,YSK,YUD-YSK
YUL,YGL,YUL-YGL
YUL,YGW,YUL-YGW
YUL,YQB,YUL-YQB
YUL,YUY,YUL-YUY
YUY,YGW,YUY-YGW
YUY,YUL,YUY-YUL
YVP,XGR,YVP-XGR
YVP,YGW,YVP-YGW
YVP,YKG,YVP-YKG
YVP,YKL,YVP-YKL
YVP,YPH,YVP-YPH
YVP,YPJ,YVP-YPJ
YVP,YPX,YVP-YPX
YVP,YTQ,YVP-YTQ
YWB,YQC,YWB-YQC
YWB,YZG,YWB-YZG
YWK,YKL,YWK-YKL
YWK,YZV,YWK-YZV
YZG,YIK,YZG-YIK
YZG,YWB,YZG-YWB
YZV,YKL,YZV-YKL
YZV,YWK,YZV-YWK
JIB,DXB,JIB-DXB
JIB,JED,JIB-JED
JIB,MGQ,JIB-MGQ
MGQ,NBO,MGQ-NBO
NBO,MGQ,NBO-MGQ
KIX,MNL,KIX-MNL
KIX,TPE,KIX-TPE
MNL,KIX,MNL-KIX
TPE,KIX,TPE-KIX
ACH,EBA,ACH-EBA
DRS,ZRH,DRS-ZRH
DUS,FDH,DUS-FDH
EBA,ACH,EBA-ACH
EBA,FDH,EBA-FDH
EBA,MUC,EBA-MUC
EBA,ZRH,EBA-ZRH
FDH,DUS,FDH-DUS
FDH,EBA,FDH-EBA
FDH,HAM,FDH-HAM
FDH,OLB,FDH-OLB
FDH,TXL,FDH-TXL
FDH,ZAD,FDH-ZAD
FMM,NAP,FMM-NAP
GRZ,ZRH,GRZ-ZRH
HAM,FDH,HAM-FDH
MUC,EBA,MUC-EBA
NAP,FMM,NAP-FMM
OLB,FDH,OLB-FDH
SZG,ZRH,SZG-ZRH
TXL,FDH,TXL-FDH
ZAD,FDH,ZAD-FDH
ZRH,DRS,ZRH-DRS
ZRH,EBA,ZRH-EBA
ZRH,GRZ,ZRH-GRZ
ZRH,SZG,ZRH-SZG
ATL,LWB,ATL-LWB
ATL,MCN,ATL-MCN
ATL,MEI,ATL-MEI
ATL,MSL,ATL-MSL
ATL,PIB,ATL-PIB
ATL,TUP,ATL-TUP
BIM,FLL,BIM-FLL
ELH,FLL,ELH-FLL
ELH,PBI,ELH-PBI
EYW,FLL,EYW-FLL
EYW,RSW,EYW-RSW
EYW,TPA,EYW-TPA
FLL,BIM,FLL-BIM
FLL,ELH,FLL-ELH
FLL,EYW,FLL-EYW
FLL,FPO,FLL-FPO
FLL,GGT,FLL-GGT
FLL,GHB,FLL-GHB
FLL,MCO,FLL-MCO
FLL,MHH,FLL-MHH
FLL,TCB,FLL-TCB
FLL,TPA,FLL-TPA
FPO,FLL,FPO-FLL
GGT,FLL,GGT-FLL
GGT,GHB,GGT-GHB
GHB,FLL,GHB-FLL
GLH,TUP,GLH-TUP
GNV,MCO,GNV-MCO
GNV,TPA,GNV-TPA
JAX,MHH,JAX-MHH
JAX,TPA,JAX-TPA
LWB,ATL,LWB-ATL
MCN,ATL,MCN-ATL
MCN,MCO,MCN-MCO
MCO,FLL,MCO-FLL
MCO,GNV,MCO-GNV
