Airport_ID,Name,Country_ID,geom
LET,Alfredo Vásquez Cobo International Airport,Colombia,01010000C0956588635D7C51C02E90A0F831C610C000000000005071400000000000000000
EOH,Enrique Olaya Herrera Airport,Colombia,01010000C0CDE67118CCE552C07AA9D898D7E11840000000000055B3400000000000000000
MGN,Baracoa Airport,Colombia,01010000C052499D8026B652C0E0B9F770C991224000000000004066400000000000000000
MTR,Los Garzones Airport,Colombia,01010000C05B423EE8D9F452C068D0D03FC1A5214000000000000042400000000000000000
MVP,Fabio Alberto Leon Bentley Airport,Colombia,01010000C034A2B437F88E51C090DAC4C9FD0EF43F00000000004085400000000000000000
MZL,La Nubia Airport,Colombia,01010000C0E09C11A5BDDD52C0AED85F764F1E14400000000000D7BA400000000000000000
NVA,Benito Salas Airport,Colombia,01010000C0894160E5D0D252C0EE5A423EE89907400000000000E096400000000000000000
OCV,Aguas Claras Airport,Colombia,01010000C0098A1F63EE5652C0378E588B4FA12040000000000014AE400000000000000000
OTU,Otu Airport,Colombia,01010000C06F1283C0CAAD52C02670EB6E9E0A1C40000000000018A0400000000000000000
PCR,German Olano Airport,Colombia,01010000C0C898BB9690DF50C022AB5B3D27BD184000000000002066400000000000000000
PEI,Matecaña International Airport,Colombia,01010000C017D9CEF753EF52C0E3C281902C401340000000000040B1400000000000000000
PTX,Pitalito Airport,Colombia,01010000C01A51DA1B7C0553C0B6D617096DB9FD3F000000000074B0400000000000000000
PPN,Guillermo León Valencia Airport,Colombia,01010000C0FB5C6DC5FE2653C0516B9A779CA20340000000000037B6400000000000000000
PSO,Antonio Narino Airport,Colombia,01010000C02DB29DEFA75253C0D7A3703D0A57F63F00000000003FB7400000000000000000
PVA,El Embrujo Airport,Colombia,01010000C0098A1F63EE5654C082E2C798BBB62A4000000000000024400000000000000000
MQU,Mariquita Airport,Colombia,01010000C0B8AF03E78CB852C044C02154A9D914400000000000EC97400000000000000000
MDE,Jose Maria Córdova International Airport,Colombia,01010000C002BC051214DB52C00D897B2C7DA8184000000000002BBB400000000000000000
RCH,Almirante Padilla Airport,Colombia,01010000C025068195433B52C0764F1E166A0D274000000000008045400000000000000000
SJE,Jorge E. Gonzalez Torres Airport,Colombia,01010000C0FE43FAEDEB2852C0C18BBE8234A304400000000000E882400000000000000000
SMR,Simón Bolívar International Airport,Colombia,01010000C0499D8026C28E52C0053411363C3D264000000000000036400000000000000000
ADZ,Gustavo Rojas Pinilla International Airport,Colombia,01010000C0933A014D846D54C026E4839ECD2A294000000000000033400000000000000000
SVI,Eduardo Falla Solano Airport,Colombia,01010000C030BB270F0BB152C06475ABE7A43701400000000000C08C400000000000000000
TME,Gustavo Vargas Airport,Colombia,01010000C086C954C1A8F051C0CB845FEAE7CD194000000000006890400000000000000000
AUC,Santiago Perez Airport,Colombia,01010000C0091B9E5E29AF51C0D8648D7A88461C400000000000407A400000000000000000
UIB,El Caraño Airport,Colombia,01010000C07E8CB96B092953C0338AE59656C3164000000000008069400000000000000000
ULQ,Heriberto Gíl Martínez Airport,Colombia,01010000C089D2DEE00B0F53C02619390B7B5A1040000000000078A8400000000000000000
VUP,Alfonso López Pumarejo Airport,Colombia,01010000C08716D9CEF74F52C01F85EB51B8DE24400000000000307E400000000000000000
VVC,Vanguardia Airport,Colombia,01010000C03A92CB7F486752C007EBFF1CE6AB10400000000000C895400000000000000000
BJO,Bermejo Airport,Bolivia,01010000C0B5FBFF7F061450C0B8010000F7C536C000000000008493400000000000000000
